date,nacara,psanchezcerro,puchaca
17-Jul-08,,42.81,3.637
18-Jul-08,,42.5,3.442
19-Jul-08,,43.54,3.442
20-Jul-08,,44.68,3.442
21-Jul-08,,39.14,3.442
22-Jul-08,,35.86,3.442
23-Jul-08,,34.38,3.442
24-Jul-08,,30,3.442
25-Jul-08,,28.75,3.442
26-Jul-08,,29.38,3.442
27-Jul-08,,36.96,3.442
28-Jul-08,,38.5,3.442
29-Jul-08,,42.02,3.442
30-Jul-08,,44.17,3.442
31-Jul-08,,42.21,3.442
1-Aug-08,,36.69,1.52
2-Aug-08,,22,1.52
3-Aug-08,,16.55,1.52
4-Aug-08,,11.27,1.52
5-Aug-08,,7.83,1.52
6-Aug-08,,3.75,1.52
7-Aug-08,,3.12,1.52
8-Aug-08,,3.13,16.811
9-Aug-08,,5.29,11.89
10-Aug-08,,6.17,3.357
11-Aug-08,,6.17,1.712
12-Aug-08,,5,1.52
13-Aug-08,,5,1.52
14-Aug-08,,8.22,1.52
15-Aug-08,,10.75,1.52
16-Aug-08,,10.73,1.52
17-Aug-08,,,1.52
18-Aug-08,,,1.52
19-Aug-08,,3.58,1.52
20-Aug-08,,6.5,1.52
21-Aug-08,,1.88,1.52
22-Aug-08,,1.25,1.52
23-Aug-08,,1.67,1.52
24-Aug-08,,3.54,1.52
25-Aug-08,,1.04,1.52
26-Aug-08,,0.42,1.52
27-Aug-08,,0,1.52
28-Aug-08,,0,1.52
29-Aug-08,,0,1.52
30-Aug-08,,0,1.52
31-Aug-08,,0,1.52
1-Sep-08,,0,1.638
2-Sep-08,,0,1.638
3-Sep-08,,0,1.638
4-Sep-08,,0.2,1.638
5-Sep-08,,1.69,1.638
6-Sep-08,,0,1.638
7-Sep-08,,0.21,1.638
8-Sep-08,,1.88,5.453
9-Sep-08,,0.62,3.546
10-Sep-08,,0,1.638
11-Sep-08,,0,1.638
12-Sep-08,,0.42,1.638
13-Sep-08,,0,1.638
14-Sep-08,,0,1.638
15-Sep-08,,0,1.638
16-Sep-08,,0,1.638
17-Sep-08,,0.21,1.638
18-Sep-08,,0.83,1.638
19-Sep-08,,0,1.638
20-Sep-08,,0,1.638
21-Sep-08,,0.63,1.638
22-Sep-08,,0,1.638
23-Sep-08,,0,4.817
24-Sep-08,,0,1.638
25-Sep-08,,0.42,1.638
26-Sep-08,,0,1.638
27-Sep-08,,0.63,1.638
28-Sep-08,,1.04,1.638
29-Sep-08,,0,1.638
30-Sep-08,,0,1.638
1-Oct-08,,0,2.951
2-Oct-08,,0,2.951
3-Oct-08,,0,2.951
4-Oct-08,,0,2.951
5-Oct-08,,1.28,2.951
6-Oct-08,,0.83,2.951
7-Oct-08,,0,2.951
8-Oct-08,,0,2.951
9-Oct-08,,0,2.951
10-Oct-08,,0.42,2.951
11-Oct-08,,0.42,3.93
12-Oct-08,,0.83,2.951
13-Oct-08,,2.18,3.93
14-Oct-08,,0.75,10.785
15-Oct-08,,0.625,6.378
16-Oct-08,,0.83,2.951
17-Oct-08,,0.93,2.951
18-Oct-08,,0.02,2.951
19-Oct-08,,0,2.951
20-Oct-08,,2.5,2.951
21-Oct-08,,1.04,2.951
22-Oct-08,,0,2.951
23-Oct-08,,0,15.191
24-Oct-08,,0,7.357
25-Oct-08,,1.88,2.951
26-Oct-08,,0,2.951
27-Oct-08,,0,15.681
28-Oct-08,,0,7.847
29-Oct-08,,0,11.274
30-Oct-08,,2.29,11.274
31-Oct-08,,0,6.378
1-Nov-08,,0.63,5.191
2-Nov-08,,2.08,4.696
3-Nov-08,,7.82,9.01
4-Nov-08,,15.63,9.473
5-Nov-08,,11.5,9.96
6-Nov-08,,10.75,4.937
7-Nov-08,,10.81,3.476
8-Nov-08,,10.5,5.191
9-Nov-08,,5.17,5.458
10-Nov-08,,0.42,3.145
11-Nov-08,,0.21,3.655
12-Nov-08,,0,2.574
13-Nov-08,,0,2.845
14-Nov-08,,0,2.328
15-Nov-08,,0.08,2.003
16-Nov-08,,0,1.905
17-Nov-08,,1.25,1.905
18-Nov-08,,1.04,1.812
19-Nov-08,,0,1.483
20-Nov-08,,0.42,1.341
21-Nov-08,,0.21,1.213
22-Nov-08,,0,1.41
23-Nov-08,,0,1.41
